amfi_code,cagr
100016,0.018109279027315184
100025,0.030531056137846457
100033,0.19908107609699743
101206,0.1569063981262846
101207,0.0540862719964994
101208,0.044439263555229314
102885,0.12241237372583735
102886,0.00806467235234054
102887,0.1132888882904719
118632,0.1602047007039744
118633,0.10956163692939214
118634,0.11021463268605425
118635,0.10747506930927275
118636,0.03636466629074353
119092,0.04348545501276435
119093,0.053808789609553154
119094,0.18692553740148088
119095,0.01046629878858063
119120,0.04024604903168005
119551,0.17149890631556253
119552,0.1438678637517985
119598,0.213657461839863
119599,0.014121082585902611
120503,0.12602917506622235
120504,0.15533527861345542
120505,0.21620844274103224
120506,0.11488973983007589
120507,0.04935981887404317
120841,0.09145323201679845
120842,0.04574058137590309
120843,0.20405972782902082
120844,0.047184434214071924
125497,0.1275481883949634
125498,0.07662321107779269
148567,0.20448240377816895
148568,0.15030203724961866
148569,0.210660349365847
149322,0.09053210165708792
149323,0.19563465986072437
149324,0.21279729078941023
